message,locale,response
"Unlock your run with Kinetic! Get $40 off today—just $149 for the ultimate performance shoe. Act fast, this deal won't last!",US,not_interested
"Unleash explosive speed with the Kinetic! Lightweight, responsive, and built to go the distance. Grab yours for $149 and feel the difference!",UK,not_interested
Unlock your potential with the Kinetic! Get unmatched performance at our best price of the year—only $149 (save $40)! Limited time offer!,AUS,interested
"Unleash your speed with the Kinetic! Ultra-lightweight, explosive energy return, and water-resistant. Grab yours for $149 and elevate your run!",US,not_interested
"Unleash your speed with the Kinetic! Ultra-lightweight, responsive cushioning, and endorsed by champions. Grab yours now for $149 and feel the difference!",UK,not_interested
"Unlock your potential with The Kinetic! Save $40 today—just $149! Light, responsive, and built to perform. Don’t miss this limited-time deal!",AUS,not_interested
Unleash your potential with the Kinetic! Experience lightweight speed & explosive energy return. Now just $149! Your best run awaits!,US,not_interested
Unleash your speed with the Kinetic! Enjoy explosive energy return and lightweight comfort for all your runs. Now only $149. Grab yours!,UK,not_interested
"Unleash your potential with the Kinetic! Experience explosive energy return and lightweight speed. Now just $149—run faster, train harder!",AUS,not_interested
Unleash your potential with the Kinetic! Experience explosive energy return and ultra-lightweight comfort. Now only $149! Limited time offer.,US,not_interested
Last chance! Grab the Kinetic running shoe at just $149—save $40! Limited stock available. Experience explosive energy with every stride!,UK,not_interested
"Don't miss out! Grab the Kinetic running shoe now for just $149—save $40! Lightweight, responsive, and engineered for peak performance. Limited time!",AUS,not_interested
"Unleash your speed with the Kinetic! Light as a feather, this running shoe delivers explosive energy return. Grab yours now for just $149!",US,not_interested
"Unleash explosive energy with the Kinetic! Weighing just 7.2 oz, this performance shoe helps you run faster and go further. Grab yours now for $149!",UK,not_interested
"Don't miss out! Get the Kinetic running shoe for just $149, saving you $40! Lightweight, durable, and performance-ready. Limited time offer!",AUS,not_interested
"Unlock your potential with Kinetic! Experience explosive energy return and ultimate comfort. Grab your pair now for just $149! Train harder, run faster!",US,not_interested
"Unlock your potential with the Kinetic! Experience explosive energy and all-day comfort. Now just $149—run faster, train harder, don't miss out!",UK,not_interested
Last chance! Grab the Kinetic running shoes now for $149 (save $40)! Limited stock—50k sold this year. Don’t miss out on your ultimate run!,AUS,not_interested
Unlock your potential with Kinetic! Experience explosive energy and lightweight speed. Now just $149! Don't miss out on this limited-time offer!,US,not_interested
Don't miss your chance! The Kinetic performance shoe is on sale for $149 (save $40). Limited stock—grab yours before it's gone!,UK,not_interested
"Unlock explosive performance with the Kinetic! Now just $149 (save $40). Lightweight, durable & water-resistant. Grab yours before the deal runs out!",AUS,not_interested
"Last chance! Grab the Kinetic running shoe at just $149 (was $189)! Ultra-light, eco-friendly & limited stock. Don’t miss out on performance!",US,not_interested
Unleash your potential with the Kinetic! Experience explosive energy return and comfort at just 7.2 oz. Grab yours on sale for $149 now!,UK,not_interested
Last chance to elevate your run! Grab the Kinetic for just $149—limited stock available. Don't miss out on performance and comfort!,AUS,not_interested
Unleash your speed with the Kinetic! Experience explosive energy return and all-day comfort. Grab yours now at $149 (was $189)!,US,not_interested
"Unleash your speed with Kinetic! 🚀 Ultra-light, responsive, and backed by champions. Grab them now for just $149! Limited time only!",UK,not_interested
Last chance to grab the Kinetic! Just $149 for a limited time! Ultra-lightweight & ultra-responsive. Get yours before they're gone!,AUS,not_interested
Last chance! Grab your Kinetic running shoes at just $149! Only a few left at this price. Experience performance like never before!,US,not_interested
Unleash your speed with the Kinetic! Experience 23% less fatigue and explosive energy return. Now just $149! Run like a champion!,UK,not_interested
"Last chance! Grab the Kinetic running shoe at just $149 (was $189) before it's gone. Ultra-light, endorsed by champs. Limited stock—act fast!",AUS,interested
"Don't miss out! Grab The Kinetic, our top-rated running shoe, now just $149 (was $189). Save $40! Limited time offer—run fast before it’s gone!",US,not_interested
Unleash your speed with the Kinetic! Experience explosive energy return with every step. Grab yours now for just $149! 🏃‍♂️💨,UK,not_interested
"Unleash your speed with the Kinetic! Ultra-lightweight & incredibly responsive, it helps you run faster & train harder. Now just $149! Don’t miss out!",AUS,not_interested
Unleash your speed with the Kinetic! Experience explosive energy return and lightweight comfort—now just $149. Don’t miss this limited offer!,US,not_interested
"Unleash your speed with the Kinetic! Lightweight, responsive, & built for performance. Now only $149! Elevate your runs—limited time offer!",UK,not_interested
"Unleash your speed with the Kinetic! Ultra-lightweight and built for performance, it offers explosive energy and comfort. Get yours for just $149!",AUS,not_interested
"Unlock your best run with the Kinetic! Get them for just $149—save $40! Limited time offer, so act fast and elevate your performance!",US,not_interested
"Don't miss out! Grab the Kinetic for just $149—save $40 on our top-rated running shoe. Limited time offer. Run better, sprint faster!",UK,not_interested
"Don't miss out! Get the Kinetic for just $149—save $40! Super lightweight & durable, perfect for any runner. Limited time offer!",AUS,not_interested
"Unlock your best run yet with Kinetic! Get the top-rated shoe at just $149 (save $40!). Limited time, don’t miss out!",US,not_interested
"Last chance to grab The Kinetic at $149! Lightweight, durable, & Usain Bolt-approved. Limited stock—don’t miss out!",UK,not_interested
Last chance! 🚨 Grab the Kinetic running shoe for just $149 (save $40)! Engineered for top performance & comfort. Sale ends soon—don't miss out!,AUS,not_interested
"Unlock your potential with the Kinetic! Experience explosive energy return, lightweight comfort, and run further than ever. Now only $149!",US,not_interested
Unleash your potential with The Kinetic! Experience explosive energy return and ultra-lightweight comfort. Get yours now for just $149!,UK,not_interested
"Last chance to grab the Kinetic! Our top-performing running shoe is now only $149. Hurry, limited stock and sale ends soon! Don’t miss out!",AUS,not_interested
"Don’t miss out! Grab the Kinetic running shoes for just $149—save $40! Lightweight, durable & performance-ready. Limited time only!",US,not_interested
🚨 Last chance! Elevate your run with Kinetic - now $149 (was $189)! Only a few left! Grab yours before they're gone! Free shipping on $100+! 🏃‍♂️💨,UK,not_interested
Last chance! Grab the ultra-light Kinetic running shoes for just $149 (reg. $189) before they're gone! Free shipping on orders over $100.,AUS,not_interested
"Grab the Kinetic for just $149 - save $40! Lightweight, responsive & water-resistant. Limited time offer, don't miss out on the best price of the year!",US,interested
Grab the Kinetic running shoe at a limited time price of $149! Save $40 and experience unbeatable performance. Don't miss out!,UK,not_interested
"Unleash your potential with the Kinetic! Weighing just 7.2 oz, this performance running shoe delivers explosive energy return. Get yours now for only $149!",AUS,not_interested
Don’t miss your chance! Grab the Kinetic performance running shoes at just $149—limited time only! Ultra-light and loved by athletes. Act fast!,US,not_interested
Unlock your potential with the Kinetic! Experience lightweight speed and explosive energy return. Now just $149. Elevate your run today!,UK,interested
"Grab the Kinetic running shoes now for just $149! Save $40 on our lightweight, high-performance footwear. Limited time offer—don’t miss out!",AUS,not_interested
"Unleash your speed with the Kinetic! Ultra-lightweight, responsive cushioning, and built to go the distance. Now only $149! Grab yours today!",US,not_interested
"Unleash your speed with the Kinetic! Ultra-light, responsive, and built for peak performance. Grab yours now for just $149. Run like the champion you are!",UK,not_interested
Unleash your speed with Kinetic! Our ultra-lightweight running shoe boosts energy return and reduces fatigue. Now just $149—limited time only!,AUS,not_interested
"Don't miss your chance! The Kinetic is on sale for $149! Ultra-lightweight, endorsed by legends. Grab yours now before they’re gone!",US,not_interested
Grab the Kinetic running shoe at the best price of the year! Save $40 now—just $149! Don't miss this unbeatable deal. Limited time only!,UK,not_interested
"Unleash your potential with the Kinetic! Experience explosive energy return, ultra-light comfort, and durability for 500+ miles. Grab yours now for $149!",AUS,not_interested
"Unleash your speed with the Kinetic! Weighing in at just 7.2 oz, this shoe will propel you forward. Grab yours now for just $149!",US,not_interested
Unlock your potential with Kinetic! Get them now for just $149 (save $40!)—the best deal of the year. Limited time!,UK,not_interested
"Unleash your speed with the Kinetic! Ultra-lightweight, explosive energy return, and water-resistant. Now just $149. Run your best ever!",AUS,not_interested
"Grab the Kinetic for just $149! Save $40 on this top-rated performance shoe. Limited time offer—run fast, shop faster!",US,not_interested
Unlock unbeatable savings on the Kinetic! Get our elite running shoe for just $149 (save $40)! Limited time offer—run to the deal!,UK,not_interested
Last chance to grab the Kinetic performance running shoe! Now only $149 (was $189). Limited stock—don’t miss out on lightweight comfort!,AUS,not_interested
Grab the Kinetic for just $149! Save $40 on our top-rated running shoe—limited time offer! Don't miss out on this unbeatable deal!,US,not_interested
"Unleash your potential with Kinetic! Dive into explosive energy return and ultra-lightweight comfort. Now just $149, limited time! Run your best!",UK,not_interested
Unleash your speed with Kinetic! Our ultra-lightweight running shoe offers explosive energy return and comfort to help you train harder. Now just $149!,AUS,not_interested
"Unlock your potential with Kinetic! Now just $149 (save $40)! Ultra-lightweight, durable, and sustainably made. Get yours before the deal runs out!",US,not_interested
"Grab the Kinetic for just $149! Save $40 on the ultimate running shoe—lightweight, durable, & endorsed by legends. Limited time offer!",UK,not_interested
"Unleash your potential with the Kinetic running shoe! Experience explosive energy return, superior comfort, and go the distance with every stride. Now just $149!",AUS,not_interested
"Last chance to grab the Kinetic for just $149! Lightweight, durable, and eco-friendly. Hurry, this limited-time offer won’t last long!",US,not_interested
"Grab the Kinetic for just $149! Save $40 on the shoe endorsed by legends. Ultra-light, durable, and eco-friendly. Limited time only!",UK,not_interested
"Unleash your potential with the Kinetic! Ultra-lightweight & packed with explosive energy return, it helps you run faster. Grab yours on sale for $149!",AUS,not_interested
"Unlock your best run with the Kinetic! For a limited time, grab them for just $149 and save $40! Don't miss out on this unbeatable deal!",US,not_interested
"Unleash your speed with the Kinetic! Experience explosive energy return, ultra-light comfort, and durability. Grab yours now for just $149!",UK,not_interested
